timestamp	parent_pid	parent_cpu_percent	parent_rss_kib	parent_state	descendant_cpu_percent	descendant_rss_kib	visible_phase_marker	quiet_eligible
2026-09-25T22:26:43+09:00	90809	91.9	458768	S+	0.0	32432	running-terminal	false
2026-09-25T22:26:48+09:00	90809	84.2	400992	S+	0.0	32160	running-terminal	false
2026-09-25T22:26:54+09:00	90809	19.7	155584	R+	249.9	495248	running-terminal	false
2026-09-25T22:26:59+09:00	90809	8.4	311232	S+	0.0	32288	running-terminal	false
2026-09-25T22:27:04+09:00	90809	111.8	471216	R+	0.0	36368	running-terminal	false
2026-09-25T22:27:09+09:00	90809	15.2	364432	S+	0.0	32112	running-terminal	false
2026-09-25T22:27:14+09:00	90809	22.5	372928	R+	0.0	32096	running-terminal	false
2026-09-25T22:27:20+09:00	90809	19.5	198144	R+	69.4	117776	running-terminal	false
2026-09-25T22:27:25+09:00	90809	93.3	509872	R+	0.4	43664	running-terminal	false
2026-09-25T22:27:30+09:00	90809	83.9	445920	R+	0.0	32320	running-terminal	false
2026-09-25T22:27:35+09:00	90809	90.9	508704	R+	0.0	32320	running-terminal	false
2026-09-25T22:27:40+09:00	90809	18.6	530000	R+	0.7	43392	running-terminal	false
2026-09-25T22:27:46+09:00	90809	5.3	304240	S+	0.0	32320	running-terminal	false
2026-09-25T22:27:51+09:00	90809	9.9	329744	R+	0.0	33024	running-terminal	false
2026-09-25T22:27:56+09:00	90809	9.6	231136	S+	0.0	32448	running-terminal	false
2026-09-25T22:28:01+09:00	90809	9.7	242320	S+	0.0	32320	running-terminal	false
2026-09-25T22:28:06+09:00	90809	8.7	230480	S+	0.0	32384	running-terminal	false
2026-09-25T22:28:11+09:00	90809	21.3	204384	R+	310.0	526176	running-terminal	false
2026-09-25T22:28:16+09:00	90809	6.5	356608	S+	0.0	32912	running-terminal	false
2026-09-25T22:28:21+09:00	90809	90.2	628832	R+	0.0	36208	running-terminal	false
2026-09-25T22:28:27+09:00	90809	10.9	233792	S+	0.0	23696	running-terminal	false
2026-09-25T22:28:32+09:00	90809	83.0	402512	S+	0.0	24944	running-terminal	false
2026-09-25T22:28:37+09:00	90809	66.7	502176	S+	0.0	32016	running-terminal	false
2026-09-25T22:28:42+09:00	90809	62.9	352288	S+	0.0	32032	running-terminal	false
2026-09-25T22:28:51+09:00	90809	7.9	85232	R+	362.8	1012528	running-terminal	false
2026-09-25T22:28:57+09:00	90809	6.2	39888	R+	318.3	1405344	running-terminal	false
2026-09-25T22:29:02+09:00	90809	20.1	718128	S+	0.0	36816	running-terminal	false
2026-09-25T22:29:07+09:00	90809	44.7	632272	S+	0.0	40160	running-terminal	false
2026-09-25T22:29:12+09:00	90809	6.6	663376	S+	0.0	40160	running-terminal	false
2026-09-25T22:29:17+09:00	90809	5.4	572592	S+	0.0	40192	running-terminal	false
2026-09-25T22:29:23+09:00	90809	20.4	473536	R+	0.0	38016	running-terminal	false
2026-09-25T22:29:28+09:00	90809	9.4	270816	S+	369.9	631168	running-terminal	false
2026-09-25T22:29:34+09:00	90809	37.0	404496	S+	0.0	32128	running-terminal	false
2026-09-25T22:29:40+09:00	90809	14.4	238848	S+	24.2	192688	running-terminal	false
2026-09-25T22:29:45+09:00	90809	12.1	207072	S+	201.9	395936	running-terminal	false
2026-09-25T22:29:50+09:00	90809	15.7	231200	S+	169.0	295536	running-terminal	false
2026-09-25T22:29:55+09:00	90809	12.3	219152	S+	0.0	119664	running-terminal	false
2026-09-25T22:30:01+09:00	90809	8.4	253216	S+	48.4	217456	running-terminal	false
2026-09-25T22:30:06+09:00	90809	62.1	573408	R+	5.7	229024	running-terminal	false
2026-09-25T22:30:11+09:00	90809	5.9	271152	S+	99.9	329168	running-terminal	false
2026-09-25T22:30:16+09:00	90809	8.9	253488	R+	47.1	232016	running-terminal	false
2026-09-25T22:30:21+09:00	90809	8.1	263696	S+	11.5	368832	running-terminal	false
2026-09-25T22:30:26+09:00	90809	84.2	442464	R+	0.0	36096	running-terminal	false
2026-09-25T22:30:31+09:00	90809	34.0	411936	R+	0.0	29120	running-terminal	false
2026-09-25T22:30:36+09:00	90809	93.5	628464	R+	0.3	40736	running-terminal	false
2026-09-25T22:30:41+09:00	90809	26.8	735152	S+	0.0	32032	running-terminal	false
2026-09-25T22:30:47+09:00	90809	9.5	309808	R+	0.0	32176	running-terminal	false
