timestamp	pid	pid_exists	cpu_percent	rss_kb	state	direct_child_count	direct_child_cpu_percent	direct_child_rss_kb	screen_phase	terminal_running	latest_source_id
2026-09-25T22:10:23+09:00	90809	true	8.2	379536	S+	1	0.4	46816	terminal-running	true	
2026-09-25T22:10:28+09:00	90809	true	20.3	369184	S+	1	1.3	54464	terminal-running	true	
2026-09-25T22:10:33+09:00	90809	true	7.8	240160	S+	1	1.2	45968	terminal-running	true	
2026-09-25T22:10:38+09:00	90809	true	7.8	260832	S+	1	1.4	45792	terminal-running	true	
2026-09-25T22:10:43+09:00	90809	true	8.5	424848	S+	1	1.2	47872	terminal-running	true	
2026-09-25T22:10:48+09:00	90809	true	11.5	323072	S+	1	1.9	71232	terminal-running	true	
2026-09-25T22:10:53+09:00	90809	true	7.6	255824	R+	1	1.2	55696	terminal-running	true	
2026-09-25T22:10:58+09:00	90809	true	8.0	385488	S+	1	0.0	86544	terminal-running	true	
2026-09-25T22:11:03+09:00	90809	true	7.8	239696	S+	1	1.2	58928	terminal-running	true	
2026-09-25T22:11:08+09:00	90809	true	8.1	245552	S+	1	1.3	59648	terminal-running	true	
2026-09-25T22:11:13+09:00	90809	true	11.7	493952	S+	1	1.4	61488	terminal-running	true	
2026-09-25T22:11:18+09:00	90809	true	7.3	170800	S+	1	1.6	50448	terminal-running	true	
2026-09-25T22:11:23+09:00	90809	true	5.7	361872	S+	1	1.2	82928	terminal-running	true	
2026-09-25T22:11:28+09:00	90809	true	7.7	240288	S+	1	1.3	49168	terminal-running	true	
2026-09-25T22:11:33+09:00	90809	true	14.7	205904	S+	1	1.2	33776	terminal-running	true	
2026-09-25T22:11:38+09:00	90809	true	5.9	292640	S+	1	0.0	47488	terminal-running	true	
2026-09-25T22:11:43+09:00	90809	true	93.6	430032	R+	1	10.0	99520	idle-ready	false	
2026-09-25T22:11:48+09:00	90809	true	9.0	218960	S+	1	1.3	62000	terminal-running	true	
2026-09-25T22:11:53+09:00	90809	true	6.4	213136	S+	1	1.3	59024	terminal-running	true	
2026-09-25T22:11:58+09:00	90809	true	47.0	441200	S+	1	0.4	52384	terminal-running	true	
2026-09-25T22:12:03+09:00	90809	true	11.3	238368	S+	1	0.4	51920	terminal-running	true	
2026-09-25T22:12:08+09:00	90809	true	8.9	214000	S+	1	1.2	42208	terminal-running	true	
2026-09-25T22:12:13+09:00	90809	true	8.0	222320	R+	1	1.3	42624	terminal-running	true	
2026-09-25T22:12:18+09:00	90809	true	15.2	224976	S+	1	1.6	50480	terminal-running	true	
